Num X cells: 60
Num Y cells: 80
Num ghost cells: 4
Time: 0.364286
-1.08333 0.6375 -3.69442e-33
-1.08333 0.6625 5.83352e-34
-1.08333 0.6875 -7.02987e-35
-1.08333 0.7125 6.60433e-36
-1.08333 0.7375 -3.60217e-37
-1.08333 0.7625 -3.82616e-38
-1.08333 0.7875 1.73271e-38
-1.08333 0.8125 -3.57614e-39
-1.08333 0.8375 5.39351e-40
-1.08333 0.8625 -6.41563e-41
-1.08333 0.8875 5.83461e-42
-1.08333 0.9125 -2.85698e-43
-1.08333 0.9375 -3.23002e-44
-1.08333 0.9625 1.25917e-44
-1.08333 0.9875 -2.4063e-45
-1.08333 1.0125 -1.93191e-60
-1.08333 1.0375 5.13235e-59
-1.08333 1.0625 -1.53062e-57
-1.08333 1.0875 3.99361e-56
-1.05 -1.0875 1.7262e-43
-1.05 -1.0625 -1.28647e-44
-1.05 -1.0375 3.23426e-47
-1.05 -1.0125 2.12347e-46
-1.05 -0.9875 3.5549e-61
-1.05 -0.9625 -7.84547e-60
-1.05 -0.9375 2.13546e-58
-1.05 -0.9125 -6.04229e-57
-1.05 -0.8875 1.45738e-55
-1.05 -0.8625 -2.90003e-54
-1.05 -0.8375 5.55818e-53
-1.05 -0.8125 -1.36231e-51
-1.05 -0.7875 3.97577e-50
-1.05 -0.7625 -1.01131e-48
-1.05 -0.7375 1.9928e-47
-1.05 -0.7125 -3.30199e-46
-1.05 -0.6875 6.55167e-45
-1.05 -0.6625 -1.89619e-43
-1.05 -0.6375 5.234e-42
-1.05 -0.6125 -1.05138e-40
-1.05 -0.5875 1.53499e-39
-1.05 -0.5625 -2.12456e-38
-1.05 -0.5375 5.34929e-37
-1.05 -0.5125 -1.69956e-35
-1.05 -0.4875 3.63308e-34
-1.05 -0.4625 -4.73449e-33
-1.05 -0.4375 3.91301e-32
-1.05 -0.4125 -4.3262e-31
-1.05 -0.3875 2.29478e-29
-1.05 -0.3625 -5.95752e-28
